Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,India,Southern India,IN-SO,523.3,571.82,30.77,21.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,India,Southern India,IN-SO,530.51,579.51,29.82,21.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,India,Southern India,IN-SO,450.25,498.81,40.44,33.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,India,Southern India,IN-SO,419.44,468.11,44.51,38.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,India,Southern India,IN-SO,414.98,463.86,45.09,39.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,India,Southern India,IN-SO,410.04,458.87,45.75,40.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,India,Southern India,IN-SO,406.84,455.61,46.17,40.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,India,Southern India,IN-SO,401.97,450.55,46.81,41.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,India,Southern India,IN-SO,395.8,444.09,47.63,41.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,India,Southern India,IN-SO,396.7,444.91,47.51,41.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,India,Southern India,IN-SO,397.05,445.0,47.46,41.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,India,Southern India,IN-SO,402.53,450.09,46.74,40.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,India,Southern India,IN-SO,451.85,498.76,40.21,31.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,India,Southern India,IN-SO,502.92,550.19,33.45,24.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,India,Southern India,IN-SO,501.66,548.84,33.62,24.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,India,Southern India,IN-SO,498.12,545.05,34.09,24.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
